title,company,location,date,url,,,,,,
"Data Partner - Business Writer - Hebrew - Remote- Global
Data Partner - Business Writer - Hebrew - Remote- Global with verification",TELUS Digital,Israel (Remote),4/18/2026,https://www.linkedin.com/jobs/view/4264451344/?eBP=CwEAAAGdpFBrrZcrW0pTLhXXMTd_9loElTXrd_mtt7q_2OajJibnmuwbuw8g0tBzG4EjfM8i61of1NC0Cqn-nNDLAsUK5MWTapLiMaR9F94ZWCJxBwWnsOeH5n0GPjY2hn4UUnXROYFw_8TW4GiR7uFu9MAph0297OMyzZdlnkUht7-KJyD4fjUsbpDh49hIab7vfjYWc3elajFSvbkMR8lljHeLXfnI66wt-WoP_csJnKZDi0I7a3UH6G72vm6uDQNujrPUHDOhmDHJj4TI6k-JntZS69zAxnLJ0P9aR3u_wTBMU7aTFeBpupWO9uJqcGetEOyqsMExUwuaiVCeHYVK7Aw0qWWXcw1VFBO74in9ahB5V1y8JyZjPBcKWYTR5wqK9toTSEF1F4B2MITyTO-_ey6grFaQmGAseTPpDO1mXslrCVpjtgFvQh5JDmpff3TkXNHZcisGbKsY12HlrVUcshKeh8TKunPuls-cIhnj2V3aqhA&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=wtEM%2FfCmqAU8vECmFV6Rvg%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Data/Business Analyst - Wix Marketing
Data/Business Analyst - Wix Marketing with verification",Wix,"Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",4/18/2026,https://www.linkedin.com/jobs/view/4400991486/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=M2kF5P7t%2FS75GzUgy7amcw%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Computer Vision Engineer (AI) | Deep Learning & Medical Imaging | North
Computer Vision Engineer (AI) | Deep Learning & Medical Imaging | North",Pacaya HR Experts,"North District, Israel (On-site)",4/18/2026,https://www.linkedin.com/jobs/view/4403076401/?eBP=CwEAAAGdpFBrrQ7bdM4Ml81s5eA12o-sdyRmXhs9dQJlZiXNylgHZjuUsIc2hPZUUUloSMDxMoGM6kSjPVwwyuGiOxRX9kSohEZA9av1QT7C_dqAw9F4ph8qSrdXLSOYEQa3b9RxwT7X-wp_B77pKo03WWqQgR4tfE-pa3dX4B-ER4oVDL52i-Gxaxq9W429iZGss_OOuMxIqI5WkVa91BJNUb7o8aM7OhSYyfqyBqswP4h6iVL-SNuwzR6Njq9sHflUNFqIk64zGNE3ozGwq9-hF5TKFSMfpJhVN3F2N279ldVsr8KvMFntyHHp5rvd0pKzHkzjvwqnGgRGfOQBZQFC_SaTQVfkUsGoI3LLv2tIPMj7NWacFCQut5FolEz-bUAWWf9jyGa0fE6uXhtb-QTTqOLAraZ4KvvbuGX6pCz6gNE3nfDp_aB6O_V7ukIijRDUV1r6PRMIzeRkiDnLA4bvv7q3Q7G28t7kzw2FCJRkniL8&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=B4LywzX4yepswCWuwNASJA%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Project Manager (Customer Experience / Deployment Delivery)
Project Manager (Customer Experience / Deployment Delivery)","Claroty
2 connections work here
22 hours ago
Within the past 24 hours","Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",4/18/2026,https://www.linkedin.com/jobs/view/4401224136/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=ha3tMvX%2F8ozaHycVPZj%2FBg%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Presale Engineer - Founding Team
Presale Engineer - Founding Team",Portune,"Herzliya, Tel Aviv District, Israel (Hybrid)",4/18/2026,https://www.linkedin.com/jobs/view/4400492417/?eBP=CwEAAAGdpFBrrSqITa9CuriwsrWqHy88rR0C4AAeAP_-ICyQi_P3TgbgvP2Cu2S_VEp4iLBeIJKsNzYzoW2XL7jA0lHpMkSA3wV5BGuDzFyhG3LvJSRS4Kvmyr2JyRr2grf8RHQ-v6_sOPetrBGO6R8AzvYSgGvpOUx3KDQ3U5iEsu2oVrFQmdXthfSV0tyX-8IuHhehCpXh3kJmw8Pki0NOWrzCIxpLNtjbh-gs5wO51331N5n_cLaGiYcIRwd_66Hl_BQQWchjLIz1PXxDXP0qJEiMiO2HaoYjYrKSJZE16tVxNuk-V_Fne5yrku7Qmj80WTChyc0G5lhWwBjFv0uqrb05DAQXREZxSQYYYFuG58_Vuuhr_NAl-Q2snIv-VPjS4cUJHcmKyvJoAVFboFENedTm_thxyH5ty5RMNsF4Ep1RczaclevEKlgTXym1veD6wjd-PcuzXfxgJWCubuHghHMDIApLztM&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=WAWHCjZHI7aYH64c1ea97w%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Data Scientist
Data Scientist","Priority Software
1 company alum works here
1 Startup Nation Central company alum works here
3 hours ago
Within the past 24 hours","Rosh HaAyin, Center District, Israel (On-site)",4/18/2026,https://www.linkedin.com/jobs/view/4403079663/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=v0R7bmdNXfM3nmM%2FGWplRw%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Strategy Consultant - AI Training & Evaluation (MBB & Top-Tier Firms)
Strategy Consultant - AI Training & Evaluation (MBB & Top-Tier Firms)",Mindrift,Israel (Remote),4/18/2026,https://www.linkedin.com/jobs/view/4403813785/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=KGGAN7xvERlJ20u%2FfS12OA%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Web Development Team Lead (WordPress)
Web Development Team Lead (WordPress) with verification",Riskified,"Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",4/18/2026,https://www.linkedin.com/jobs/view/4391490653/?eBP=CwEAAAGdpFBrra2zR969WgLDRThjE8tEK2lAUKzZYE6q0dw9aWsQyAKXcdHovU_yTN9Lu1Z-vvCabMlSgOy12cLTU7dZ-INAHSQPlTh2VhCQYnhyNzT0JYDw1af72N2BTugjUvvX4KsEZUgQN826YZmK9qKooiJ_SFh1hJt621wrlpuGIM8xQQ97n6Zm81P9P8aidbgd5kLDZ_jBR4PTqnQ2yo2ta5ITmlGgfykG-5EmBRVy6_aEryjVpTqLWN3e3Wjh7b5-mzKs1m9c7OmJO_ARbhX161064Z6e8t65rB_dZZuy1cpSJDeQISRLg7W1iE7nQ-H8sYez421G_0wzlcwYp9CLl0A9I8DtF1uSxHoXXhyC2FpoJ8BFJDTLJcDP_ri7Egh9QAPuer_ZOCm6eldiezb9xn9etkA3Ct-NTOxHohhAdmG063-RN3BQ7KN7ZSeYCS-8wIn4spjBIlOOAFObCXoZYSagI6wEYVTnplsVVw&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=9K1Y5FI%2BTe0pBbrkYVJ3yA%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Information Technology Manager
Information Technology Manager",Kela Technologies,"Tel Aviv District, Israel (Hybrid)",4/18/2026,https://www.linkedin.com/jobs/view/4403838273/?eBP=CwEAAAGdpFBrrT942maCncx2bQiuSHyul6cSSsyT1El-0RLdKKUZ7vpfQZWk29eZJ0ZBMZocHs0iDLLDkUUAaMm6wmBoFxSHB0ZzCnejbmdUP30ZKV64BObsDjU5zDxJYd2rJrSTY11tA0N-bpz62fseGHj3q3JVysflxEiWcfqQd9q7YfgMogmwMj_iDmh87Et68IRiR0QFya8ZTZUT1QV_kR5xgAC7PlB7zdiV4G0lWPClmTjGM20O643eQ0v47rFPtLRfKd-mH7aG6T9at2v-ML2AbHiQRxnvYhMs29ZxhbooNFjitt1xlr-ij-BqtPQwZcpbBd4lRE0TQ455YyRjPM0mdWVhAf34cwrbksHn8tdeI90H2ETpYiKELJB4Q3GvWpeZ6d5DDv8KrAfxwyi6xL9pHW2Q503ZCfoM1ylhgGvACUBUJP3mmHWhAn4MuJHEyAmxqdYNhpfbrJhHYKN0CG0j-EiK-n1WddnuRB-EZLF0G2E&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=qlulJL2CdJwWmKHEltnvNw%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"AI Trainer - Freelance Data Annotator
AI Trainer - Freelance Data Annotator",Toloka Annotators,Israel (Remote),4/18/2026,https://www.linkedin.com/jobs/view/4403830828/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=HGOjbB707G6DsbzKLcUe9w%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Office Administrator
Office Administrator",LTS Device Technologies,"Netanya, Center District, Israel (On-site)",4/18/2026,https://www.linkedin.com/jobs/view/4395683193/?eBP=CwEAAAGdpFBrrsEr5xOdr58_CoHXz7sIyo0AUWeCSx0iOvMhVPRQdO8ahuic4xYwZsXTa8XsNylV_sestbqz4y0JjGzWq39B3zAg8ROztcxI0URrSRyWzkxwAn8DmJwJm2WMGqT5os3avoR-hhPUFc7N25poN8huqe0h5bPq_rlQ3qW3kohNgCRCNh8mQSOdxvMqnka46YGAbZc360sZwHG0Ds2slPXHyFsjCkhEjUVobKbT3hlCNwoSTNnRF_-1FKVoWtcWrmq_YQunvX3JkxImYr7AEu457qoKoffXBEt5CJZqYT7oVdHO2BDIWbffZWhsKhY0oXdPW5VaVkYSguW_ohvsHGObRgwojRvvdkwibdfvjE9poVQVdYzhzQPaxRcPUMspp7j9Oaevrqi_mfyFBMEgrqrRltczhfoKN7iKfdTbW1wpLlzJVS4V1ScmOTC_VsR--mKAHFbeW8Hfo97Fzl9EkwV0_q0wDLbdjTUSux3Uag1otg&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=GMRMtBwxSam4%2F9rmDNZFVQ%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"R&D Team Lead
R&D Team Lead with verification",Kissterra,"Tel Aviv District, Israel (Hybrid)",4/18/2026,https://www.linkedin.com/jobs/view/4389594869/?eBP=CwEAAAGdpFBrroW-C_U-Jyh_delLh3VQ6RCBhWOe03XMI2jIUAemFZsIjsMse7EA2VOYN_HVUI8k6iuwJgKNjtWmNModqxdYBNdbv8q_-ao79BvidbTIyoT264seMerqQ8eo9pXSguCMh4j4zuwRuEmhPBZM3t2ixFO605_LSgRLOPlf6F4ZX8vAbTNtHRplWSid9x2Nvhnggu3jx9cbPNFG4Zgpu6sd8qNC8qvU8MVHbW_y6zXugwL5gitSmt27Huvb2KvagoGHOl-WlmdCoWmfzNV2Zt9e00pVYVSOLRoFFqvOcVVSUfGwqKhJCWsvgmIj2orpF_fTp8rfgqRSgsqqcvZcSxzii2s1aOCZkdkuKQVZPgwpjNEFAJBXmwel7W2cn_3fqKIVcY0cKWg07ylVDRUS2pQfFuwNu1O1Rl5LQFxmqBaZrLyGq0-GLE6I7PbGEctrsaLY5YvuJseLrD3xwxUzjm6EanGxJhBW4-fIwzN8&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=xnCRdAhxYL2D3bpperLq8w%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Technical Release Manager
Technical Release Manager with verification",Cato Networks,"Tel Aviv District, Israel (Hybrid)",4/18/2026,https://www.linkedin.com/jobs/view/4350695734/?eBP=CwEAAAGdpFBrrnwlIHFzxiJETDVfa4Lvo8QMCMk9ZBIbXBWEQwpPEKDjhO7adCfoUqUlp3qY33d0MGuQK22o5chieSq50M_LhclzZmOG6SlMh75doXqMX8ZQA1OAVHCUz1VNH2dghVQZI1PyXf5OZPXUyGz6Ytmxp8zSx_roh9T88v6GgdHuJ4guZtpfvgG7ssTVkxx2_j2sXbhShFi5oQk2ETreCpCIpCcq-RprA1whZ6A6s8ijBctS5Udkpk5ERySZNqYXIEJZ9p8a5_3j6Yi2dCOgWvBXRcVfKX2QrAV55p04W8vDh42eekRPHgbLoOaeoN8FIhx5Bg-9U2Flw_qh91VhjzpWyVZCBPFsXfRa-xHe8K8XoPxZl_FM_nxQrq29N9VwYCU5wyXKBi9TzbmJpa2mqsXeu-Fosx4pV-m_04JnvE6wkoIXmsTnMuvR6KLxA1Ae7B89YYlhXN-1Y1yDhWbKRVsCnTV4AuUR1tnGhdZlhibygQ&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=HbQCT6TvauDuLsrJV0U6rQ%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Sr Product Manager - Performance Stumble Guys!
Sr Product Manager - Performance Stumble Guys! with verification",Scopely,"Tel Aviv District, Israel (Hybrid)",4/18/2026,https://www.linkedin.com/jobs/view/4342970632/?eBP=CwEAAAGdpFBrrhtyomEoxz3rbxX2wQ8x6HNM4n-KFAu0M-i5mPiflDrugaXWTX_kZk385qZq6bg48kRKhUCU_XH2I8GhKqJ83A7-kC-qxPfCOGPpJqWmokYwvvp1xkewZk8IlplK9_2cD9A5d6RqPsgStK9UAQLKLTEcid1D-yLIUGdJ4_RW0DSJ-VUe-kowGYoi5Nv0L9qTYObTTFAsGphZE3hxPAiUPXs25ONh62B8qgf_1XbFmAd38tXwNA1LfDhr_ObItCMecUxkr4GmlEIlmGJYR8NsCjOt9HgpDWxvb6BKF5fCzMVWutT8erKvn6xvS0q8LNtSWDyBUyISyIU1Du1a4enmUaV3ay_ydce9hUdKb7-lHrUVaVwqHfHvyIXqSx4xYvmPyt6i-Ey82Wxmq0WWeL1vnNytANIpZpAgoZft1YURk58QZ9jr_2Uv5R0A0GDbU1ahkytanMnNiExlF5M72ru0SIVT8WM6zGVKaNs0&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=gTLUxcZXuw2A62iwk%2F2n2w%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
"Restaurant Development Specialist
Restaurant Development Specialist with verification",Wolt,"Ramat Gan, Tel Aviv District, Israel (On-site)",4/18/2026,https://www.linkedin.com/jobs/view/4391611411/?eBP=CwEAAAGdpFBrruZj0xDHfWGxWk_b--_hnlDfgmYsakH4m_rkOwz5PTuJZ_87UmTrxv2oPCVsfNLXBx9PRlNvkD4SAtGWce9gw6zBj5OVjGVPdSfn3Ser2ztYrI1qOIkg0SC0SYd_8kHDjsXKLFfwAPpIdWtGLpsI2Yhs902WMysuePSM1YCHNGma0ZuTtGkQ4ry8bVEzzGfdp1s-n8E3Q1QrgQgJKRRU9w5gu7I7uQg2NazbFYOXdktfg0nSgYO7iJZVpBPc1ZUrwdafUkkuYuAUzAdL7Hc2wXC5CMZlZA4r3XYaTvQir_zhTGb636Gh5J7tjsHkXQmUAYDwPBMLYzqy5WBvw2FDVWADQUw9v0YsVyPIMsv07HKrrA49fvEp9P_CsC6NkrU_MRhF0ztQIqjVy0brF7WzTTz0jb4ZFUc3ON_BIDUeIAEBzlCYacJMJp9QBa8y0HMenILlPnFAQ7SA7eARkvPe2jbem8xfWppJllEG&refId=dwLb%2F2Dg02J8bR6U%2Fj39%2Bg%3D%3D&trackingId=OZzA8klc%2B3cHvXRlAyRVgQ%3D%3D&trk=flagship3_search_srp_jobs,,,,,,
